epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.62841,1.89735,4.53887,1.80162,0.0029,0.86957,0.00389,0.00208,1.57166,4.28046,1.41743,0.00038,0.00038,0.00038
2,6.72544,1.57689,3.12325,1.52471,0.00319,0.95652,0.00493,0.00273,1.40942,4.26019,1.31656,0.000764556,0.000764556,0.000764556
3,8.84209,1.41248,2.92408,1.3802,0.00304,0.91304,0.05087,0.03073,1.29515,4.1814,1.22303,0.00113327,0.00113327,0.00113327
4,10.93,1.44697,2.92002,1.41116,0.19864,0.21739,0.17065,0.10351,1.26138,3.22025,1.2093,0.00148615,0.00148615,0.00148615
5,12.977,1.34797,2.46162,1.39406,0.29798,0.21739,0.19083,0.06653,1.41534,3.50391,1.48181,0.00182318,0.00182318,0.00182318
6,15.0328,1.33578,2.19754,1.32282,0.08968,0.52174,0.07317,0.04179,1.27394,3.94251,1.26882,0.001802,0.001802,0.001802
7,17.1533,1.37765,2.26184,1.3478,0.06869,0.43478,0.05984,0.02798,1.4532,5.60999,1.45913,0.0017624,0.0017624,0.0017624
8,19.1727,1.28291,2.14083,1.30066,0.48624,0.74073,0.64812,0.33374,1.32561,2.97774,1.52542,0.0017228,0.0017228,0.0017228
9,21.2406,1.29338,2.14436,1.34603,0.59145,0.82609,0.6282,0.32999,1.36119,2.31334,1.42272,0.0016832,0.0016832,0.0016832
10,23.3276,1.34546,2.17278,1.39391,0.5449,0.78261,0.54499,0.35472,1.29129,2.60011,1.3461,0.0016436,0.0016436,0.0016436
11,25.4492,1.2719,1.75557,1.29964,0.8692,0.6087,0.71385,0.45954,1.25737,2.24991,1.13094,0.001604,0.001604,0.001604
12,27.5322,1.19566,1.88376,1.22227,0.78578,0.56522,0.71764,0.48382,1.109,1.86399,1.12282,0.0015644,0.0015644,0.0015644
13,29.6451,1.24845,1.78441,1.3421,0.44674,0.82609,0.52586,0.35227,1.02457,1.77588,1.07276,0.0015248,0.0015248,0.0015248
14,31.6522,1.15073,1.66193,1.26673,0.69037,0.67906,0.71645,0.50632,1.04115,1.30962,1.13311,0.0014852,0.0014852,0.0014852
15,33.7043,1.15658,1.51192,1.25719,0.94105,0.69415,0.80494,0.57371,1.13739,1.36518,1.16988,0.0014456,0.0014456,0.0014456
16,35.7627,1.14602,1.44485,1.22883,0.84902,0.69565,0.8687,0.57403,1.17184,1.6092,1.18434,0.001406,0.001406,0.001406
17,37.8628,1.05052,1.34664,1.17368,0.77063,0.86957,0.92932,0.57251,1.14775,1.28602,1.15637,0.0013664,0.0013664,0.0013664
18,39.9422,1.21423,1.53721,1.2636,0.65561,0.65217,0.69163,0.43054,1.0713,1.39423,1.13298,0.0013268,0.0013268,0.0013268
19,41.9206,1.06565,1.33604,1.16243,0.76071,0.69128,0.78602,0.52333,1.15005,1.34296,1.15495,0.0012872,0.0012872,0.0012872
20,43.9474,1.09458,1.30545,1.17153,0.90728,0.6087,0.80432,0.54605,1.26231,1.32357,1.1637,0.0012476,0.0012476,0.0012476
21,45.9726,1.04549,1.25915,1.13043,0.87385,0.90387,0.94751,0.6816,0.9723,0.9545,1.05756,0.001208,0.001208,0.001208
22,48.025,1.00724,1.13838,1.13122,0.95439,0.95652,0.98107,0.68714,1.03398,0.86649,1.11549,0.0011684,0.0011684,0.0011684
23,50.6237,0.96105,1.21944,1.1387,0.84154,1,0.97384,0.71935,0.8762,0.81165,1.03511,0.0011288,0.0011288,0.0011288
24,52.6857,1.07713,1.24273,1.19213,0.90084,0.86957,0.91637,0.72527,0.83662,0.84475,1.00465,0.0010892,0.0010892,0.0010892
25,54.7079,1.02787,1.14834,1.13949,0.93909,0.82609,0.94466,0.72993,0.81844,0.79359,0.96725,0.0010496,0.0010496,0.0010496
26,56.7591,1.01954,1.26155,1.08227,1,0.85438,0.95986,0.7204,0.88461,0.82872,0.99721,0.00101,0.00101,0.00101
27,58.8203,0.96295,1.12488,1.10378,0.93753,0.86957,0.96425,0.71862,0.98553,0.79931,1.08927,0.0009704,0.0009704,0.0009704
28,60.8938,0.92085,1.08292,1.12676,0.87364,0.90217,0.96607,0.74019,1.00942,0.80144,1.13948,0.0009308,0.0009308,0.0009308
29,63.0278,0.84309,1.06429,1.04079,0.90908,0.95652,0.97369,0.74247,0.96709,0.71713,1.09439,0.0008912,0.0008912,0.0008912
30,65.0876,0.90851,1.00145,1.11518,0.87476,1,0.9537,0.68736,0.89018,0.76704,1.03477,0.0008516,0.0008516,0.0008516
31,67.095,0.83768,0.94684,1.02104,0.8407,0.95652,0.96635,0.74414,0.83641,0.69889,1.00558,0.000812,0.000812,0.000812
32,69.1809,0.79251,0.82505,1.02116,0.95612,0.94769,0.97517,0.77244,0.816,0.61833,0.99945,0.0007724,0.0007724,0.0007724
33,71.2772,0.80971,0.82997,1.01395,0.95637,0.95317,0.98733,0.77595,0.84113,0.65577,1.03744,0.0007328,0.0007328,0.0007328
34,73.3643,0.85025,0.84979,1.04747,0.90487,0.91304,0.93801,0.70236,0.90741,0.83021,1.0509,0.0006932,0.0006932,0.0006932
