epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.39203,2.7234,4.61682,2.65611,0.00101,0.30435,0.00104,0.0005,1.66637,4.8558,1.8051,8e-05,8e-05,8e-05
2,4.06184,2.55684,4.61573,2.51797,0.00116,0.34783,0.001,0.00046,1.7354,4.83843,1.80451,0.000178812,0.000178812,0.000178812
3,5.90772,2.01151,4.10398,2.09687,0.00246,0.73913,0.0034,0.00165,1.6853,4.45175,1.52667,0.000276304,0.000276304,0.000276304
4,7.70186,1.79296,3.55571,1.93826,0.00261,0.78261,0.00408,0.00131,1.66786,4.43671,1.68628,0.000372476,0.000372476,0.000372476
5,9.46439,1.59882,3.18694,1.69549,0.0029,0.86957,0.00645,0.0022,1.55566,4.34825,1.54597,0.000467328,0.000467328,0.000467328
6,11.4177,1.57254,2.629,1.60874,0.00304,0.91304,0.00341,0.00174,1.51921,4.23412,1.45296,0.00056086,0.00056086,0.00056086
7,13.1705,1.4992,2.38587,1.60522,0.00304,0.91304,0.00403,0.00226,1.52819,4.06351,1.38556,0.000653072,0.000653072,0.000653072
8,14.9077,1.593,2.42206,1.66351,0.00319,0.95652,0.00652,0.00323,1.58218,4.05759,1.46594,0.000743964,0.000743964,0.000743964
9,16.7255,1.47156,2.25632,1.55839,0.00333,1,0.01337,0.00502,1.38751,3.95959,1.37048,0.000833536,0.000833536,0.000833536
10,18.4949,1.65366,2.26702,1.63456,0.0665,0.04348,0.08618,0.03792,1.94001,3.78391,1.83273,0.000921788,0.000921788,0.000921788
11,20.2264,1.53563,2.20617,1.53713,0.1838,0.04348,0.08616,0.03907,1.76795,3.73299,1.67977,0.00100872,0.00100872,0.00100872
12,21.9902,1.55121,2.1366,1.58258,0.21286,0.08696,0.09669,0.03339,1.82345,3.66516,1.74969,0.00109433,0.00109433,0.00109433
13,23.6567,1.47584,2.11406,1.57845,0.04073,0.08696,0.03436,0.01785,1.64045,3.89316,1.51837,0.00117862,0.00117862,0.00117862
14,25.4539,1.4824,1.9866,1.51556,0.42264,0.31882,0.29453,0.17126,1.90842,3.32621,1.65195,0.0012616,0.0012616,0.0012616
15,27.2692,1.44404,1.9051,1.46195,0.2516,0.26087,0.26601,0.15573,1.62651,3.06147,1.48568,0.00134325,0.00134325,0.00134325
16,29.1543,1.37535,1.81689,1.4389,0.57667,0.2967,0.29542,0.19304,1.50566,2.828,1.28527,0.00142358,0.00142358,0.00142358
17,30.9851,1.35866,1.79389,1.41418,0.76492,0.21739,0.3007,0.14359,1.99,2.937,1.69397,0.00150259,0.00150259,0.00150259
18,32.6974,1.40717,1.67639,1.43811,0.01555,0.30435,0.01304,0.00369,2.20235,14.2677,2.10163,0.00158028,0.00158028,0.00158028
19,34.3981,1.40163,1.78261,1.41768,0.13804,0.17391,0.04347,0.02156,2.09611,4.46714,1.95432,0.00165666,0.00165666,0.00165666
20,36.1276,1.37919,1.65388,1.40559,0.82642,0.26087,0.36769,0.16598,2.03559,2.73954,1.7044,0.00173171,0.00173171,0.00173171
21,37.8702,1.42009,1.57946,1.44954,0.33773,0.13043,0.11756,0.05746,1.79361,3.37923,1.72023,0.001736,0.001736,0.001736
22,39.6096,1.42139,1.55622,1.47778,0.07854,0.26087,0.03738,0.01485,1.94826,3.86025,1.71021,0.0017228,0.0017228,0.0017228
23,41.3394,1.43833,1.56514,1.46248,0.17837,0.48144,0.13996,0.06867,1.74953,2.65146,1.5017,0.0017096,0.0017096,0.0017096
24,43.1515,1.31678,1.4672,1.35109,0.02514,0.34783,0.018,0.00829,2.08035,9.54236,1.73809,0.0016964,0.0016964,0.0016964
25,44.9015,1.37522,1.60013,1.44849,0.01749,0.30435,0.01141,0.00488,2.16433,9.95116,1.81885,0.0016832,0.0016832,0.0016832
26,46.6516,1.35802,1.39267,1.3643,0.64269,0.30435,0.32308,0.21446,1.70006,2.49319,1.52622,0.00167,0.00167,0.00167
27,48.539,1.40017,1.49923,1.43358,0.5615,0.3913,0.39303,0.24518,1.82778,2.10022,1.6032,0.0016568,0.0016568,0.0016568
